latitude,longitude,displacement (mm),coherence,elevation (m)
-36.878,-70.682,NaN,0.42,1189.50
-36.878,-70.672,NaN,0.43,1376.75
-36.878,-70.662,NaN,0.41,1433.15
-36.878,-70.652,NaN,0.39,1473.84
-36.878,-70.642,NaN,0.39,1414.76
-36.878,-70.632,NaN,0.40,1452.94
-36.878,-70.622,NaN,0.38,1580.22
-36.878,-70.612,NaN,0.34,1761.07
-36.878,-70.602,NaN,0.32,1890.26
-36.878,-70.592,NaN,0.29,1915.62
-36.878,-70.582,NaN,0.25,2195.18
-36.878,-70.572,NaN,0.23,2453.34
-36.878,-70.562,NaN,0.26,2670.94
-36.878,-70.552,NaN,0.25,2716.72
-36.878,-70.542,NaN,0.27,2689.38
-36.878,-70.532,NaN,0.31,2436.71
-36.878,-70.522,NaN,0.16,2063.03
-36.878,-70.512,NaN,0.19,2528.83
-36.878,-70.502,NaN,0.40,2815.44
-36.878,-70.492,-7.47,0.33,2589.66
-36.878,-70.482,NaN,0.34,2317.59
-36.878,-70.472,9.77,0.36,2243.04
-36.878,-70.462,-6.11,0.45,2609.90
-36.878,-70.452,-2.49,0.46,2440.73
-36.878,-70.442,-3.26,0.45,2283.06
-36.878,-70.432,-8.52,0.40,2140.88
-36.878,-70.422,-13.76,0.38,2069.37
-36.878,-70.412,-17.36,0.43,1928.42
-36.878,-70.402,-23.58,0.39,1757.51
-36.878,-70.392,-18.38,0.40,1727.07
-36.878,-70.382,-19.74,0.31,1954.72
-36.878,-70.372,-14.48,0.32,2072.39
-36.878,-70.362,-13.95,0.36,2166.38
-36.878,-70.352,-18.91,0.35,2230.32
-36.878,-70.342,NaN,0.33,2078.18
-36.878,-70.332,NaN,0.36,2269.98
-36.878,-70.322,-7.02,0.30,2420.36
-36.878,-70.312,NaN,0.19,2807.81
-36.878,-70.302,-37.02,0.26,3307.37
-36.878,-70.292,-27.72,0.44,3155.75
-36.878,-70.282,-31.25,0.47,3281.11
-36.878,-70.272,-40.59,0.35,3275.46
-36.878,-70.262,NaN,0.50,3109.86
-36.878,-70.252,NaN,0.38,2789.65
-36.878,-70.242,NaN,0.57,2741.83
-36.878,-70.232,NaN,0.42,2628.42
-36.878,-70.222,-17.44,0.37,2567.59
-36.878,-70.212,NaN,0.54,2430.29
-36.878,-70.202,NaN,0.50,2414.52
-36.878,-70.192,NaN,0.45,2412.65
-36.868,-70.682,NaN,0.42,1276.86
-36.868,-70.672,NaN,0.43,1391.22
-36.868,-70.662,NaN,0.42,1304.05
-36.868,-70.652,NaN,0.40,1592.66
-36.868,-70.642,NaN,0.41,1577.88
-36.868,-70.632,NaN,0.40,1645.46
-36.868,-70.622,NaN,0.39,1799.32
-36.868,-70.612,NaN,0.36,1658.03
-36.868,-70.602,NaN,0.37,1699.93
-36.868,-70.592,NaN,0.33,1778.68
-36.868,-70.582,NaN,0.31,1941.43
-36.868,-70.572,NaN,0.28,2144.34
-36.868,-70.562,NaN,0.32,2492.97
-36.868,-70.552,NaN,0.36,2714.15
-36.868,-70.542,NaN,0.32,2463.80
-36.868,-70.532,NaN,0.28,2348.53
-36.868,-70.522,NaN,0.13,2199.71
-36.868,-70.512,NaN,0.24,2734.58
-36.868,-70.502,0.61,0.45,2894.05
-36.868,-70.492,-5.20,0.43,2684.36
-36.868,-70.482,NaN,0.31,2296.11
-36.868,-70.472,5.10,0.33,2471.89
-36.868,-70.462,-18.83,0.34,2735.83
-36.868,-70.452,-4.17,0.38,2513.33
-36.868,-70.442,-5.51,0.43,2668.93
-36.868,-70.432,-8.16,0.38,2609.33
-36.868,-70.422,-8.64,0.34,2338.84
-36.868,-70.412,-17.83,0.36,2132.81
-36.868,-70.402,-25.55,0.38,1829.28
-36.868,-70.392,-19.89,0.37,1736.06
-36.868,-70.382,-12.90,0.36,2031.87
-36.868,-70.372,-12.16,0.34,2191.54
-36.868,-70.362,-9.39,0.39,2237.26
-36.868,-70.352,-22.16,0.32,2532.23
-36.868,-70.342,-19.28,0.31,2316.40
-36.868,-70.332,-16.65,0.36,2205.51
-36.868,-70.322,-11.01,0.38,2368.72
-36.868,-70.312,-24.24,0.35,2562.35
-36.868,-70.302,-34.69,0.31,2877.03
-36.868,-70.292,-29.06,0.35,3389.10
-36.868,-70.282,-50.71,0.45,3334.53
-36.868,-70.272,-40.06,0.53,3023.36
-36.868,-70.262,NaN,0.45,2931.60
-36.868,-70.252,NaN,0.47,2881.79
-36.868,-70.242,NaN,0.35,2923.56
-36.868,-70.232,NaN,0.51,2636.62
-36.868,-70.222,NaN,0.44,2595.35
-36.868,-70.212,-10.49,0.49,2493.80
-36.868,-70.202,NaN,0.57,2430.43
-36.868,-70.192,NaN,0.47,2412.65
-36.858,-70.682,NaN,0.39,1224.18
-36.858,-70.672,NaN,0.46,1292.12
-36.858,-70.662,NaN,0.43,1454.67
-36.858,-70.652,NaN,0.39,1572.80
-36.858,-70.642,NaN,0.40,1712.67
-36.858,-70.632,NaN,0.34,1771.28
-36.858,-70.622,NaN,0.36,1815.14
-36.858,-70.612,NaN,0.32,2062.57
-36.858,-70.602,NaN,0.31,1919.91
-36.858,-70.592,NaN,0.34,1924.18
-36.858,-70.582,NaN,0.31,1850.60
-36.858,-70.572,NaN,0.27,2053.13
-36.858,-70.562,NaN,0.29,2388.82
-36.858,-70.552,NaN,0.38,2762.09
-36.858,-70.542,NaN,0.31,2757.49
-36.858,-70.532,NaN,0.23,2324.25
-36.858,-70.522,NaN,0.13,2359.61
-36.858,-70.512,NaN,0.23,2785.20
-36.858,-70.502,-1.76,0.36,2822.20
-36.858,-70.492,-3.01,0.36,2438.13
-36.858,-70.482,NaN,0.22,2308.27
-36.858,-70.472,NaN,0.38,2751.60
-36.858,-70.462,-17.18,0.40,2865.94
-36.858,-70.452,NaN,0.31,2661.22
-36.858,-70.442,-6.77,0.39,3022.68
-36.858,-70.432,-6.54,0.39,2958.50
-36.858,-70.422,-5.89,0.37,2622.46
-36.858,-70.412,-12.34,0.35,2234.54
-36.858,-70.402,-28.67,0.34,1924.14
-36.858,-70.392,-25.27,0.32,1763.21
-36.858,-70.382,-20.37,0.37,2028.13
-36.858,-70.372,-9.77,0.40,2188.18
-36.858,-70.362,-5.48,0.33,2341.25
-36.858,-70.352,-11.27,0.33,2514.28
-36.858,-70.342,-31.55,0.27,2715.88
-36.858,-70.332,-26.75,0.30,2482.30
-36.858,-70.322,-18.32,0.27,2441.87
-36.858,-70.312,-15.23,0.32,2779.27
-36.858,-70.302,-24.34,0.42,2970.26
-36.858,-70.292,-30.85,0.46,2850.64
