latitude,longitude,displacement (mm),coherence,elevation (m)
-36.878,-70.682,6.73,0.44,1189.50
-36.878,-70.672,16.07,0.51,1376.75
-36.878,-70.662,17.51,0.47,1433.15
-36.878,-70.652,18.97,0.45,1473.84
-36.878,-70.642,21.21,0.44,1414.76
-36.878,-70.632,24.42,0.48,1452.94
-36.878,-70.622,23.64,0.49,1580.22
-36.878,-70.612,22.51,0.39,1761.07
-36.878,-70.602,22.78,0.35,1890.26
-36.878,-70.592,20.63,0.35,1915.62
-36.878,-70.582,NaN,0.41,2195.18
-36.878,-70.572,NaN,0.33,2453.34
-36.878,-70.562,NaN,0.32,2670.94
-36.878,-70.552,NaN,0.30,2716.72
-36.878,-70.542,NaN,0.33,2689.38
-36.878,-70.532,NaN,0.25,2436.71
-36.878,-70.522,6.83,0.39,2063.03
-36.878,-70.512,NaN,0.50,2528.83
-36.878,-70.502,NaN,0.33,2815.44
-36.878,-70.492,NaN,0.29,2589.66
-36.878,-70.482,NaN,0.37,2317.59
-36.878,-70.472,NaN,0.36,2243.04
-36.878,-70.462,NaN,0.43,2609.90
-36.878,-70.452,23.79,0.50,2440.73
-36.878,-70.442,23.46,0.54,2283.06
-36.878,-70.432,22.50,0.50,2140.88
-36.878,-70.422,17.25,0.47,2069.37
-36.878,-70.412,15.06,0.52,1928.42
-36.878,-70.402,8.02,0.51,1757.51
-36.878,-70.392,-3.29,0.46,1727.07
-36.878,-70.382,-3.12,0.36,1954.72
-36.878,-70.372,-9.05,0.37,2072.39
-36.878,-70.362,-0.63,0.39,2166.38
-36.878,-70.352,7.50,0.39,2230.32
-36.878,-70.342,-1.03,0.34,2078.18
-36.878,-70.332,-16.93,0.37,2269.98
-36.878,-70.322,NaN,0.40,2420.36
-36.878,-70.312,-31.55,0.51,2807.81
-36.878,-70.302,NaN,0.43,3307.37
-36.878,-70.292,17.57,0.53,3155.75
-36.878,-70.282,NaN,0.51,3281.11
-36.878,-70.272,NaN,0.35,3275.46
-36.878,-70.262,NaN,0.53,3109.86
-36.878,-70.252,NaN,0.41,2789.65
-36.878,-70.242,NaN,0.55,2741.83
-36.878,-70.232,NaN,0.46,2628.42
-36.878,-70.222,NaN,0.43,2567.59
-36.878,-70.212,NaN,0.58,2430.29
-36.878,-70.202,NaN,0.54,2414.52
-36.878,-70.192,NaN,0.49,2412.65
-36.868,-70.682,11.77,0.44,1276.86
-36.868,-70.672,13.66,0.54,1391.22
-36.868,-70.662,18.31,0.59,1304.05
-36.868,-70.652,14.70,0.53,1592.66
-36.868,-70.642,14.66,0.44,1577.88
-36.868,-70.632,19.91,0.46,1645.46
-36.868,-70.622,20.02,0.42,1799.32
-36.868,-70.612,18.57,0.38,1658.03
-36.868,-70.602,21.34,0.40,1699.93
-36.868,-70.592,21.86,0.38,1778.68
-36.868,-70.582,NaN,0.44,1941.43
-36.868,-70.572,NaN,0.45,2144.34
-36.868,-70.562,NaN,0.42,2492.97
