latitude,longitude,displacement (mm),coherence,elevation (m)
13.502,40.569,-21.73,0.84,21.30
13.502,40.573,-20.29,0.85,35.98
13.502,40.577,-19.02,0.85,51.34
13.502,40.581,-18.42,0.84,66.42
13.502,40.585,-18.08,0.87,87.38
13.502,40.589,-17.48,0.88,115.93
13.502,40.593,-16.10,0.87,149.60
13.502,40.597,-13.86,0.86,169.33
13.502,40.601,-10.84,0.86,223.62
13.502,40.605,-6.74,0.83,300.91
13.502,40.609,-1.77,0.81,399.34
13.502,40.613,5.10,0.79,507.81
13.502,40.617,11.86,0.79,615.64
13.502,40.621,17.74,0.81,719.89
13.502,40.625,23.19,0.83,811.48
13.502,40.629,26.81,0.83,869.22
13.502,40.633,26.63,0.83,876.38
13.502,40.637,23.75,0.81,825.28
13.502,40.641,18.09,0.75,739.43
13.502,40.645,9.88,0.77,575.90
13.502,40.649,1.91,0.75,370.14
13.502,40.653,-2.13,0.74,251.32
13.502,40.657,-4.82,0.82,251.13
13.502,40.661,-6.60,0.82,248.14
13.502,40.665,-7.33,0.82,243.40
13.502,40.669,-7.49,0.84,246.48
13.502,40.673,-7.42,0.86,247.34
13.502,40.677,-7.12,0.85,248.13
13.502,40.681,-6.79,0.89,249.12
13.502,40.685,-6.83,0.90,247.44
13.502,40.689,-6.48,0.89,251.90
13.502,40.693,-6.19,0.88,260.00
13.502,40.697,-6.17,0.88,257.39
13.502,40.701,-5.77,0.88,265.96
13.502,40.705,-4.90,0.88,285.90
13.502,40.709,-3.18,0.85,301.09
13.502,40.713,-1.14,0.85,372.42
13.502,40.717,0.77,0.85,389.00
13.502,40.721,1.80,0.87,368.17
13.502,40.725,1.90,0.86,362.00
13.502,40.729,1.44,0.84,369.96
13.502,40.733,0.55,0.84,337.89
13.502,40.737,-0.89,0.85,307.36
13.502,40.741,-3.02,0.84,257.11
13.502,40.745,-6.23,0.85,197.93
13.502,40.749,-9.03,0.85,147.35
13.502,40.753,-10.71,0.86,77.96
13.502,40.757,-12.52,0.88,58.00
13.502,40.761,-14.16,0.86,42.30
13.502,40.765,-15.14,0.85,14.71
13.502,40.769,-15.09,0.82,3.93
13.506,40.569,-20.62,0.83,28.31
13.506,40.573,-19.34,0.83,42.44
13.506,40.577,-18.35,0.85,61.31
13.506,40.581,-17.82,0.86,81.59
13.506,40.585,-17.25,0.88,101.16
13.506,40.589,-16.44,0.88,135.92
13.506,40.593,-14.83,0.87,185.29
13.506,40.597,-12.42,0.87,222.49
13.506,40.601,-9.27,0.84,264.92
13.506,40.605,-5.14,0.83,343.12
13.506,40.609,-0.15,0.80,448.63
13.506,40.613,5.63,0.80,558.17
13.506,40.617,12.21,0.79,677.61
13.506,40.621,18.04,0.81,780.12
13.506,40.625,23.99,0.78,879.22
13.506,40.629,28.60,0.75,963.36
13.506,40.633,29.05,0.77,946.08
13.506,40.637,25.63,0.81,901.93
13.506,40.641,18.91,0.79,791.59
13.506,40.645,9.76,0.75,628.82
13.506,40.649,0.33,0.78,409.56
13.506,40.653,-4.32,0.71,258.52
13.506,40.657,-5.93,0.75,249.93
