latitude,longitude,displacement (mm),coherence,elevation (m)
13.502,40.569,7.84,0.84,21.30
13.502,40.573,7.12,0.86,35.98
13.502,40.577,6.59,0.85,51.34
13.502,40.581,5.95,0.84,66.42
13.502,40.585,5.34,0.84,87.38
13.502,40.589,4.95,0.87,115.93
13.502,40.593,4.91,0.87,149.60
13.502,40.597,4.69,0.84,169.33
13.502,40.601,4.17,0.86,223.62
13.502,40.605,3.03,0.86,300.91
13.502,40.609,1.75,0.85,399.34
13.502,40.613,2.33,0.83,507.81
13.502,40.617,4.33,0.82,615.64
13.502,40.621,6.31,0.83,719.89
13.502,40.625,7.94,0.85,811.48
13.502,40.629,8.53,0.86,869.22
13.502,40.633,8.27,0.86,876.38
13.502,40.637,6.89,0.82,825.28
13.502,40.641,NaN,0.72,739.43
13.502,40.645,NaN,0.67,575.90
13.502,40.649,3.47,0.69,370.14
13.502,40.653,4.52,0.75,251.32
13.502,40.657,4.92,0.85,251.13
13.502,40.661,4.75,0.84,248.14
13.502,40.665,4.69,0.82,243.40
13.502,40.669,4.57,0.85,246.48
13.502,40.673,4.38,0.87,247.34
13.502,40.677,3.92,0.87,248.13
13.502,40.681,3.18,0.91,249.12
13.502,40.685,2.42,0.91,247.44
13.502,40.689,1.96,0.90,251.90
13.502,40.693,2.00,0.89,260.00
13.502,40.697,2.24,0.89,257.39
13.502,40.701,2.56,0.90,265.96
13.502,40.705,2.64,0.89,285.90
13.502,40.709,2.52,0.86,301.09
13.502,40.713,2.55,0.86,372.42
13.502,40.717,2.60,0.86,389.00
13.502,40.721,2.61,0.87,368.17
13.502,40.725,2.90,0.88,362.00
13.502,40.729,3.43,0.87,369.96
13.502,40.733,3.75,0.87,337.89
13.502,40.737,3.71,0.88,307.36
13.502,40.741,3.58,0.88,257.11
13.502,40.745,3.37,0.89,197.93
13.502,40.749,3.39,0.88,147.35
13.502,40.753,4.47,0.88,77.96
13.502,40.757,5.26,0.89,58.00
13.502,40.761,5.76,0.89,42.30
13.502,40.765,6.42,0.86,14.71
13.502,40.769,6.76,0.85,3.93
13.506,40.569,9.62,0.83,28.31
13.506,40.573,9.01,0.83,42.44
13.506,40.577,8.47,0.84,61.31
13.506,40.581,7.71,0.86,81.59
13.506,40.585,6.77,0.86,101.16
13.506,40.589,5.99,0.86,135.92
13.506,40.593,5.63,0.87,185.29
13.506,40.597,5.17,0.86,222.49
13.506,40.601,4.48,0.83,264.92
13.506,40.605,3.15,0.82,343.12
13.506,40.609,2.43,0.82,448.63
13.506,40.613,4.03,0.82,558.17
13.506,40.617,6.58,0.82,677.61
13.506,40.621,8.90,0.80,780.12
13.506,40.625,10.99,0.77,879.22
13.506,40.629,11.63,0.75,963.36
13.506,40.633,11.09,0.81,946.08
13.506,40.637,NaN,0.84,901.93
13.506,40.641,NaN,0.72,791.59
13.506,40.645,NaN,0.56,628.82
13.506,40.649,4.24,0.59,409.56
13.506,40.653,5.04,0.72,258.52
13.506,40.657,5.68,0.76,249.93
13.506,40.661,5.40,0.81,250.51
13.506,40.665,4.89,0.83,248.95
13.506,40.669,4.23,0.82,253.22
13.506,40.673,3.54,0.85,255.98
13.506,40.677,2.94,0.85,255.81
13.506,40.681,2.29,0.90,257.14
13.506,40.685,1.75,0.90,255.43
13.506,40.689,1.60,0.90,263.21
13.506,40.693,1.83,0.90,269.30
13.506,40.697,2.13,0.90,271.28
13.506,40.701,2.28,0.89,289.67
13.506,40.705,2.19,0.90,329.51
13.506,40.709,1.98,0.87,357.45
13.506,40.713,2.15,0.85,418.63
13.506,40.717,2.18,0.84,452.21
13.506,40.721,2.16,0.87,406.77
13.506,40.725,2.52,0.86,424.83
13.506,40.729,2.83,0.86,395.33
13.506,40.733,3.14,0.87,361.01
13.506,40.737,3.06,0.88,310.21
13.506,40.741,3.12,0.88,266.50
13.506,40.745,3.53,0.89,217.31
13.506,40.749,3.92,0.88,156.46
13.506,40.753,4.92,0.89,114.28
13.506,40.757,5.96,0.90,93.57
13.506,40.761,6.31,0.88,56.28
13.506,40.765,6.80,0.86,22.99
13.506,40.769,7.43,0.88,17.56
13.510,40.569,11.93,0.83,38.88
13.510,40.573,11.25,0.84,52.84
13.510,40.577,10.56,0.85,70.85
13.510,40.581,9.80,0.84,90.04
13.510,40.585,8.48,0.84,122.15
13.510,40.589,7.35,0.86,146.95
13.510,40.593,6.72,0.86,195.49
13.510,40.597,6.25,0.86,277.07
13.510,40.601,5.58,0.84,319.74
13.510,40.605,4.49,0.83,390.00
13.510,40.609,4.71,0.82,489.73
13.510,40.613,6.90,0.81,594.49
13.510,40.617,9.11,0.78,705.41
13.510,40.621,11.36,0.71,802.20
13.510,40.625,13.15,0.67,909.35
13.510,40.629,13.48,0.71,985.55
13.510,40.633,12.69,0.80,965.99
13.510,40.637,NaN,0.83,904.03
13.510,40.641,NaN,0.74,781.48
13.510,40.645,NaN,0.54,608.64
13.510,40.649,NaN,0.58,368.17
13.510,40.653,5.27,0.64,249.51
13.510,40.657,6.33,0.72,252.00
13.510,40.661,6.16,0.82,255.38
13.510,40.665,5.13,0.83,254.10
13.510,40.669,3.97,0.81,261.00
13.510,40.673,3.07,0.83,262.91
13.510,40.677,2.58,0.84,269.70
13.510,40.681,2.14,0.89,266.44
13.510,40.685,1.77,0.90,263.91
13.510,40.689,1.72,0.91,269.94
13.510,40.693,1.93,0.90,275.51
13.510,40.697,2.05,0.91,288.14
13.510,40.701,1.83,0.90,314.88
13.510,40.705,1.66,0.89,354.76
13.510,40.709,1.62,0.89,391.53
13.510,40.713,1.88,0.81,434.85
13.510,40.717,1.92,0.84,445.25
13.510,40.721,2.13,0.85,439.27
